Initial,EntryDate,EntryLocation,ExitDate,ExitLocation,Key,Number
ALS ,2017-03-24,X 344E,2017-03-24,X 344E,ALS 2000,2000
CNW ,2017-02-15,NZ021S,2017-03-16,NZ021 ,CNW 8646,8646
CNW ,2017-02-15,NZ021S,2017-03-16,NZ021 ,CNW 8701,8701
EMDX,2017-01-04,EC096 ,2017-04-02,EC096 ,EMDX1601,1601
EMDX,2017-04-07,NP162S,2017-04-08,NP162S,EMDX1601,1601
EMDX,2017-04-20,NX284E,2017-05-18,WX817 ,EMDX1601,1601
EMDX,2017-05-21,JP016S,2017-05-28,JP016S,EMDX1601,1601
EMDX,2016-12-30,NZ020 ,2017-01-04,NZ020 ,EMDX1602,1602
EMDX,2017-01-08,NX284E,2017-04-02,EC096 ,EMDX1602,1602
EMDX,2017-04-07,NP162S,2017-04-08,NP162S,EMDX1602,1602
EMDX,2017-04-11,NX284S,2017-04-17,NX284S,EMDX1602,1602
EMDX,2017-04-22,NX284S,2017-05-26,NX284S,EMDX1602,1602
GMTX,2017-03-17,JH404D,2017-03-29,JH404S,GMTX2116,2116
GMTX,2017-04-08,X 344E,2017-04-12,X 344E,GMTX2116,2116
GMTX,2017-05-02,X 344E,2017-05-04,X 344E,GMTX2116,2116
GMTX,2016-11-30,TP250S,2017-01-14,TP250S,GMTX2117,2117
GMTX,2017-01-26,X 344E,2017-02-27,X 344E,GMTX2117,2117
GMTX,2017-03-08,X 344E,2017-03-27,X 344E,GMTX2117,2117
GMTX,2017-03-31,X 344E,2017-05-05,X 344E,GMTX2117,2117
GMTX,2017-01-26,B 461 ,2017-02-23,B 461 ,GMTX2118,2118
GMTX,2017-05-04,B 461 ,2017-05-26,EN000 ,GMTX2118,2118
GMTX,2017-01-21,X 344E,2017-05-04,X 344E,GMTX2119,2119
GMTX,2016-12-30,KP643 ,2017-01-23,KP643 ,GMTX2120,2120
GMTX,2017-02-26,KP643 ,2017-03-04,KP643 ,GMTX2120,2120
GMTX,2017-03-12,KP643 ,2017-04-15,KP643 ,GMTX2120,2120
GMTX,2016-12-15,TB114 ,2017-01-21,TB114 ,GMTX2124,2124
GMTX,2017-04-05,TB114 ,2017-05-01,TB114 ,GMTX2124,2124
GMTX,2016-12-24,TP250S,2017-02-21,TP250S,GMTX2133,2133
GMTX,2017-03-22,TP250 ,2017-05-12,TP250 ,GMTX2133,2133
GMTX,2017-01-01,MX283S,2017-02-18,MX283S,GMTX2135,2135
GMTX,2017-04-04,MX283S,2017-05-22,MX283S,GMTX2135,2135
GMTX,2017-03-13,SW523 ,2017-03-30,MX283S,GMTX2153,2153
GMTX,2016-12-05,C 015 ,2017-01-06,C 015 ,GMTX2155,2155
GMTX,2017-02-17,C 015 ,2017-03-23,C 015 ,GMTX2155,2155
GMTX,2016-12-12,C 015 ,2017-01-04,C 015 ,GMTX2160,2160
GMTX,2017-03-25,C 015 ,2017-04-06,C 015 ,GMTX2160,2160
GMTX,2017-01-11,TP250S,2017-01-14,TP250S,GMTX2161,2161
GMTX,2017-03-20,HL005 ,2017-03-30,HL005 ,GMTX2161,2161
GMTX,2017-04-28,HL005 ,2017-04-30,HL005 ,GMTX2161,2161
GMTX,2017-01-24,TP250S,2017-02-13,TP250 ,GMTX2163,2163
GMTX,2016-12-30,XG077 ,2017-01-12,XG077 ,GMTX2166,2166
GMTX,2017-03-06,X 344E,2017-04-26,JH404D,GMTX2166,2166
GMTX,2017-03-06,TP250S,2017-04-04,TP250S,GMTX2168,2168
GMTX,2016-11-15,X 344E,2017-01-08,JH404S,GMTX2170,2170
GMTX,2017-04-05,TB114 ,2017-04-16,TB114 ,GMTX2170,2170
GMTX,2017-01-03,TB114 ,2017-01-04,TB114 ,GMTX2195,2195
GMTX,2017-01-09,TB114 ,2017-01-17,TB114 ,GMTX2195,2195
GMTX,2017-01-19,TB114 ,2017-01-23,TB114 ,GMTX2195,2195
GMTX,2017-01-25,TB114 ,2017-02-04,TB114 ,GMTX2195,2195
GMTX,2017-03-21,C 806 ,2017-05-05,C 806 ,GMTX2195,2195
GMTX,2016-11-21,MX283S,2017-01-20,MX283S,GMTX2241,2241
GMTX,2017-03-29,MX283S,2017-04-19,MX283S,GMTX2241,2241
GMTX,2017-01-23,MX283S,2017-03-14,MX283S,GMTX2243,2243
GMTX,2017-02-14,TP250S,2017-02-28,TP250S,GMTX2246,2246
GMTX,2017-02-14,X 344E,2017-03-15,X 344E,GMTX2251,2251
GMTX,2017-03-20,X 344E,2017-04-17,X 344E,GMTX2251,2251
GMTX,2017-01-11,X 344E,2017-04-14,X 344E,GMTX2252,2252
GMTX,2017-04-17,MX283S,2017-04-24,MX283S,GMTX2252,2252
GMTX,2017-01-12,TP250 ,2017-01-15,TP250 ,GMTX2256,2256
GMTX,2017-03-02,HL005 ,2017-05-26,TP250S,GMTX2256,2256
GMTX,2017-01-10,TP250S,2017-02-04,TP250S,GMTX2267,2267
GMTX,2017-03-02,TP250S,2017-04-17,TP250S,GMTX2267,2267
GMTX,2016-12-05,X 344E,2017-01-11,X 344E,GMTX2269,2269
GMTX,2017-02-26,X 344E,2017-04-04,TP250S,GMTX2269,2269
GMTX,2017-01-20,DD053D,2017-02-01,DD053D,GMTX2271,2271
GMTX,2017-02-26,NZ021S,2017-03-09,NZ021S,GMTX2271,2271
GMTX,2017-04-23,DM136 ,2017-05-05,DM136 ,GMTX2271,2271
GMTX,2017-03-13,SP760S,2017-03-21,SP760S,GMTX2280,2280
GMTX,2017-03-26,SP760S,2017-04-22,SP760S,GMTX2280,2280
GMTX,2017-02-06,AX345 ,2017-02-24,AX345 ,GMTX2285,2285
GMTX,2017-04-02,AX345S,2017-04-13,AX345S,GMTX2285,2285
GMTX,2017-04-21,AX345S,2017-05-14,AX345S,GMTX2285,2285
GMTX,2017-01-09,B 461 ,2017-02-09,B 461 ,GMTX2294,2294
GMTX,2017-04-21,TB114 ,2017-05-04,TB114 ,GMTX2294,2294
GMTX,2017-01-30,MX283S,2017-02-06,MX283S,GMTX2295,2295
GMTX,2017-03-17,MX283S,2017-05-13,MX283S,GMTX2295,2295
GMTX,2017-01-27,TP250S,2017-02-11,TP250S,GMTX2297,2297
GMTX,2017-03-23,TP250S,2017-05-20,TP250S,GMTX2297,2297
GMTX,2016-12-02,MX283S,2017-01-20,MX283S,GMTX2298,2298
GMTX,2017-03-06,MX283S,2017-04-02,MX283S,GMTX2298,2298
GMTX,2017-04-05,SW523 ,2017-04-12,SW523 ,GMTX2298,2298
GMTX,2017-04-18,MX283S,2017-05-27,MX283S,GMTX2298,2298
GMTX,2017-01-27,X 344E,2017-03-27,TP250S,GMTX2321,2321
GMTX,2017-01-23,SW523 ,2017-01-24,SW523 ,GMTX2328,2328
GMTX,2017-04-18,MX283S,2017-05-09,MX283S,GMTX2328,2328
GMTX,2017-05-11,MX283D,2017-05-21,MX283S,GMTX2328,2328
GMTX,2017-01-20,MO486 ,2017-01-24,MO486 ,GMTX2330,2330
GMTX,2017-04-27,MO486 ,2017-04-27,EN000 ,GMTX2330,2330
GMTX,2017-05-17,MO486 ,2017-05-24,MO486 ,GMTX2330,2330
GMTX,2017-01-24,X 344E,2017-03-16,X 344E,GMTX2335,2335
GMTX,2017-01-03,TB114 ,2017-02-22,TB114 ,GMTX2337,2337
GMTX,2017-04-20,TB114 ,2017-05-09,TB114 ,GMTX2337,2337
GMTX,2017-05-11,TB114 ,2017-06-01,TB114 ,GMTX2337,2337
GMTX,2017-02-01,TP250S,2017-03-14,X 344E,GMTX2602,2602
GMTX,2017-01-07,C 015 ,2017-02-09,C 015 ,GMTX2613,2613
GMTX,2017-04-18,C 015 ,2017-05-12,C 015 ,GMTX2613,2613
GMTX,2017-01-17,TP250S,2017-02-17,TP250S,GMTX2614,2614
GMTX,2017-03-29,TP250S,2017-05-21,TP250S,GMTX2614,2614
GMTX,2016-12-12,TB114 ,2017-02-07,TB114 ,GMTX2623,2623
GMTX,2017-02-10,TB114 ,2017-02-17,TB114 ,GMTX2623,2623
GMTX,2017-02-22,TB114 ,2017-02-23,TB114 ,GMTX2623,2623
GMTX,2017-02-25,TB114 ,2017-03-01,TB114 ,GMTX2623,2623
GMTX,2017-03-04,TB114 ,2017-03-07,TB114 ,GMTX2623,2623
GMTX,2017-03-09,TB114 ,2017-03-16,TB114 ,GMTX2623,2623
GMTX,2017-03-18,TB114 ,2017-03-19,TB114 ,GMTX2623,2623
GMTX,2017-03-23,TB114 ,2017-03-27,TB114 ,GMTX2623,2623
GMTX,2017-03-29,TB114 ,2017-04-06,TB114 ,GMTX2623,2623
GMTX,2017-04-10,TB114 ,2017-04-11,TB114 ,GMTX2623,2623
GMTX,2017-04-13,TB114 ,2017-04-18,TB114 ,GMTX2623,2623
GMTX,2017-04-21,TB114 ,2017-04-24,TB114 ,GMTX2623,2623
GMTX,2017-04-26,TB114 ,2017-05-10,TB114 ,GMTX2623,2623
GMTX,2017-02-08,RV323S,2017-04-05,RV323S,GMTX2625,2625
GMTX,2017-01-26,HL005 ,2017-02-11,HL005 ,GMTX2673,2673
GMTX,2017-03-23,TP250S,2017-05-16,TP250S,GMTX2673,2673
GMTX,2017-01-04,X 344E,2017-02-23,JH404S,GMTX2679,2679
GMTX,2017-04-12,X 344E,2017-05-05,JH404S,GMTX2679,2679
GMTX,2016-12-13,TP250S,2017-01-09,TP250S,GMTX2682,2682
GMTX,2017-02-24,TB114 ,2017-04-11,TB114 ,GMTX2682,2682
GMTX,2017-04-14,X 344E,2017-04-22,JH404S,GMTX2682,2682
GMTX,2017-05-09,TB114 ,2017-05-30,TB114 ,GMTX2682,2682
GMTX,2017-01-19,SW523 ,2017-01-24,SW523 ,GMTX2691,2691
GMTX,2017-02-09,SW523 ,2017-02-19,MX283S,GMTX2691,2691
GMTX,2017-02-25,MX283S,2017-03-04,MX283S,GMTX2691,2691
GMTX,2017-03-21,SW523 ,2017-03-22,SW523 ,GMTX2691,2691
GMTX,2017-02-10,MX283S,2017-04-02,MX283S,GMTX2692,2692
GMTX,2016-12-20,AX345S,2017-01-20,AX345S,GMTX2693,2693
GMTX,2017-02-17,AX345S,2017-03-18,SO216 ,GMTX2693,2693
GMTX,2017-04-08,SO216 ,2017-04-27,AX345 ,GMTX2693,2693
GMTX,2017-01-20,DM136 ,2017-03-02,DM136 ,GMTX2694,2694
GMTX,2017-04-26,EC096 ,2017-04-26,EC096 ,GMTX2694,2694
HLCX,2016-10-18,B 009 ,2017-01-17,B 009 ,HLCX1028,1028
HLCX,2017-04-10,B 372 ,2017-04-10,B 372 ,HLCX1028,1028
HLCX,2017-02-10,B 461 ,2017-03-26,B 461 ,HLCX1031,1031
HLCX,2017-05-13,B 372E,2017-05-26,B 372E,HLCX1031,1031
HLCX,2016-12-31,SP760S,2017-01-21,EN000 ,HLCX1032,1032
HLCX,2017-01-13,B 372E,2017-04-09,TB114 ,HLCX918,918
HLCX,2017-04-30,B 372E,2017-05-06,B 372E,HLCX918,918
HLCX,2017-02-23,X 344E,2017-03-27,JH404S,HLCX990,990
